name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
cct-031374,2853753,7.1748857,3.4788141,2853753,cct-031374,False,0.0,,No metal,True
balofloxacin,40490624,9.49423,4.2477965,40490624,balofloxacin,False,0.0,,No metal,True
mm-206,102514675,8.78588,2.8935926,102514675,mm-206,False,0.0,,No metal,True
bosentan,104865,8.076239,7.528267,104865,bosentan,False,0.0,,No metal,True
potassium-p-aminobenzoate,978,8.161977,3.3708103,978,potassium-p-aminobenzoate,False,0.0,,No metal,True
bendroflumethiazide,9845085,6.2998033,3.2040565,9845085,bendroflumethiazide,False,0.0,,No metal,True
le-135,10410894,7.918836,3.4680066,10410894,le-135,False,0.0,,No metal,True
nortriptyline,4543,6.563324,2.0490334,4543,nortriptyline,False,0.0,,No metal,True
gw-843682x,9826308,8.136119,7.749535,9826308,gw-843682x,False,0.0,,No metal,True
avex-73,76968108,8.048183,1.8857011,76968108,avex-73,False,0.0,,No metal,True
bifemelane,2377,9.523622,2.5795038,2377,bifemelane,False,0.0,,No metal,True
dipyrocetyl,68093,10.228117,2.0914862,68093,dipyrocetyl,False,0.0,,No metal,True
glpg0492-r-enantiomer,59317173,7.222771,3.5215845,59317173,glpg0492-r-enantiomer,False,0.0,,No metal,True
ly2811376,44251605,6.096115,7.837682,44251605,ly2811376,False,0.0,,No metal,True
unc0642,53315878,8.799877,7.3306603,53315878,unc0642,False,0.0,,No metal,True
k-858,686905,6.8482976,2.263204,686905,k-858,False,0.0,,No metal,True
caccinh-a01,747218,9.23541,3.4396176,747218,caccinh-a01,False,0.0,,No metal,True
gsk3117391,53630042,6.540564,6.7350883,53630042,gsk3117391,False,0.0,,No metal,True
crt0044876,81409,6.915571,6.269262,81409,crt0044876,False,0.0,,No metal,True
homoquinolinic-acid,3080554,6.9851947,6.7690654,3080554,homoquinolinic-acid,False,0.0,,No metal,True
dimesna,65626,-1.1222689,6.1495523,65626,dimesna,False,0.0,,No metal,True
pk-11195,24839733,6.540745,6.4924974,24839733,pk-11195,False,0.0,,No metal,True
amibegron,3035442,9.4789915,2.561888,3035442,amibegron,False,0.0,,No metal,True
coenzyme-a,87642,5.3769217,9.279122,87642,coenzyme-a,False,0.0,,No metal,True
