name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
way-100635,5684.0,-2.0982187,4.5721684,5684,way-100635,False,0.0,,No metal,True
pivmecillinam,,1.3297125,7.709174,,pivmecillinam,False,0.0,,No metal,True
lercanidipine,9809926.0,0.9013735,1.93048,9809926,lercanidipine,False,0.0,,No metal,True
asp-9521,25210792.0,-3.076349,5.2093525,25210792,asp-9521,False,0.0,,No metal,True
sb-452533,9842609.0,-2.7722094,4.495124,9842609,sb-452533,False,0.0,,No metal,True
resibufogenin,6917974.0,0.40733108,9.472199,6917974,resibufogenin,False,0.0,,No metal,True
vinburnine,71203.0,-4.047459,4.4335723,71203,vinburnine,False,0.0,,No metal,True
kl-001,1367681.0,3.301676,1.5891876,1367681,kl-001,False,0.0,,No metal,True
fenspiride,3344.0,-0.274043,10.018453,3344,fenspiride,False,0.0,,No metal,True
rimcazole,53389.0,-0.17000578,-0.5828204,53389,rimcazole,False,0.0,,No metal,True
cgp-78608,6604872.0,-2.4441535,6.028838,6604872,cgp-78608,False,0.0,,No metal,True
mn-64,2802462.0,-0.30046842,-0.78160113,2802462,mn-64,False,0.0,,No metal,True
liraglutide,16153050.0,1.0944667,4.731649,16153050,liraglutide,False,0.0,,No metal,True
inarigivir,,-0.07979733,5.9856663,,inarigivir,False,0.0,,No metal,True
bexagliflozin,25195624.0,-1.2720475,5.538881,25195624,bexagliflozin,False,0.0,,No metal,True
cinobufotalin,259776.0,0.75699085,7.7982492,259776,cinobufotalin,False,0.0,,No metal,True
alisertib,24771867.0,2.378956,1.6326834,24771867,alisertib,False,0.0,,No metal,True
butibufen,71314316.0,0.25891054,10.06839,71314316,butibufen,False,0.0,,No metal,True
miridesap,125516.0,1.9604014,8.437276,125516,miridesap,False,0.0,,No metal,True
efaroxan,11957548.0,-0.4030771,10.232519,11957548,efaroxan,False,0.0,,No metal,True
am-580,2126.0,-3.0379734,4.2013297,2126,am-580,False,0.0,,No metal,True
l-152804,969478.0,0.43546048,9.59515,969478,l-152804,False,0.0,,No metal,True
a61603,6604803.0,-0.5135946,8.878683,6604803,a61603,False,0.0,,No metal,True
tangeritin,68077.0,-0.21308607,0.8450323,68077,tangeritin,False,0.0,,No metal,True
kaempferol,5280863.0,-1.1730003,0.35015178,5280863,kaempferol,False,0.0,,No metal,True
nialamide,4472.0,-2.6476603,5.7831945,4472,nialamide,False,0.0,,No metal,True
efatutazone,76962475.0,2.4103286,1.6747644,76962475,efatutazone,False,0.0,,No metal,True
doxercalciferol,46931009.0,2.0474973,7.039718,46931009,doxercalciferol,False,0.0,,No metal,True
pf-06273340,66571548.0,2.637202,1.92304,66571548,pf-06273340,False,0.0,,No metal,True
cintirorgon,124126348.0,0.8318363,1.5588975,124126348,cintirorgon,False,0.0,,No metal,True
neridronic-acid,71237.0,1.9724241,8.911512,71237,neridronic-acid,False,0.0,,No metal,True
tyrphostin-ag-99,5328768.0,-1.2110157,9.103087,5328768,tyrphostin-ag-99,False,0.0,,No metal,True
nampt-in-1,92044379.0,-1.782574,5.556617,92044379,nampt-in-1,False,0.0,,No metal,True
vanillylacetone,31211.0,-0.46100193,10.232312,31211,vanillylacetone,False,0.0,,No metal,True
nsc-663284,379077.0,-0.28556857,9.07305,379077,nsc-663284,False,0.0,,No metal,True
sitaxentan,216235.0,-0.16537178,1.2339375,216235,sitaxentan,False,0.0,,No metal,True
osemozotan,198747.0,-2.2877321,4.8394265,198747,osemozotan,False,0.0,,No metal,True
drofenine,38988270.0,0.5619681,9.306516,38988270,drofenine,False,0.0,,No metal,True
semapimod,492132.0,0.52939415,5.342743,492132,semapimod,False,0.0,,No metal,True
erteberel,10286159.0,-3.6583002,4.990945,10286159,erteberel,False,0.0,,No metal,True
inc-280,25145656.0,2.9424043,2.6194155,25145656,inc-280,False,0.0,,No metal,True
acoziborole,44178354.0,-3.1851537,5.1655273,44178354,acoziborole,False,0.0,,No metal,True
merimepodib,153241.0,-0.09370111,1.5381318,153241,merimepodib,False,0.0,,No metal,True
bqu57,,-3.2196333,5.064159,,bqu57,False,0.0,,No metal,True
cnx-2006,56968072.0,0.32157862,1.8546989,56968072,cnx-2006,False,0.0,,No metal,True
s63845,122197581.0,1.8247668,2.658579,122197581,s63845,False,0.0,,No metal,True
estrone,5870.0,0.35780427,10.070025,5870,estrone,False,0.0,,No metal,True
fk-3311,164009.0,-2.841989,4.867742,164009,fk-3311,False,0.0,,No metal,True
tubocurarine,6000.0,15.319859,3.9448104,6000,tubocurarine,False,0.0,,No metal,True
clinofibrate,,-1.7070698,4.407301,,clinofibrate,False,0.0,,No metal,True
indirubin,,-3.6624537,5.6198263,,indirubin,False,0.0,,No metal,True
droxidopa,92974.0,-1.2570614,8.651926,92974,droxidopa,False,0.0,,No metal,True
amphotericin-b,91827561.0,0.89307195,5.4014397,91827561,amphotericin-b,False,0.0,,No metal,True
s18986,637863.0,-0.6821622,10.216973,637863,s18986,False,0.0,,No metal,True
luzindole,122162.0,-0.414605,-0.41421226,122162,luzindole,False,0.0,,No metal,True
posaconazole,468595.0,1.9402674,2.4793158,468595,posaconazole,False,0.0,,No metal,True
diphemanil,6127.0,15.228395,4.029846,6127,diphemanil,False,0.0,,No metal,True
methoxyamine,4113.0,3.4150295,9.021067,4113,methoxyamine,False,0.0,,No metal,True
perphenazine,4748.0,-2.4969687,4.3208556,4748,perphenazine,False,0.0,,No metal,True
ap-18,9584673.0,0.120000504,10.352035,9584673,ap-18,False,0.0,,No metal,True
isoleucine,76551.0,3.1165247,8.8844795,76551,isoleucine,False,0.0,,No metal,True
vlx600,6806409.0,3.3690596,1.8019313,6806409,vlx600,False,0.0,,No metal,True
lamivudine,60825.0,-1.050517,9.036563,60825,lamivudine,False,0.0,,No metal,True
hemomex-s,11468733.0,1.9469578,7.0910673,11468733,hemomex-s,False,0.0,,No metal,True
baloxavir-marboxil,124081896.0,-0.046801437,1.6471859,124081896,baloxavir-marboxil,False,0.0,,No metal,True
allylestrenol,235905.0,2.6736271,7.428576,235905,allylestrenol,False,0.0,,No metal,True
fulvestrant,57300161.0,1.4077315,6.324591,57300161,fulvestrant,False,0.0,,No metal,True
rwj-21757,135410906.0,-1.606453,6.563658,135410906,rwj-21757,False,0.0,,No metal,True
ttp-22,1536915.0,-0.21390496,-0.08557737,1536915,ttp-22,False,0.0,,No metal,True
jnj-26990990,11687376.0,-3.6355262,5.946967,11687376,jnj-26990990,False,0.0,,No metal,True
taurocholate,6675.0,0.8353514,7.3322816,6675,taurocholate,False,0.0,,No metal,True
acy-1215,53340666.0,0.17328218,1.4453105,53340666,acy-1215,False,0.0,,No metal,True
aniracetam,2196.0,-0.4651548,10.383731,2196,aniracetam,False,0.0,,No metal,True
nocodazole,4122.0,-0.8799927,0.035877425,4122,nocodazole,False,0.0,,No metal,True
tenofovir,464205.0,-2.3679848,6.2617154,464205,tenofovir,False,0.0,,No metal,True
opicapone,135565903.0,-0.5035197,1.265618,135565903,opicapone,False,0.0,,No metal,True
trans-2-undecenoic-acid,5282728.0,2.9661875,8.283543,5282728,trans-2-undecenoic-acid,False,0.0,,No metal,True
brefeldin-a,5287620.0,2.4101796,7.9709816,5287620,brefeldin-a,False,0.0,,No metal,True
xibenolol,12179892.0,-0.11547924,9.644918,12179892,xibenolol,False,0.0,,No metal,True
plx647,11545419.0,3.4372687,1.1965158,11545419,plx647,False,0.0,,No metal,True
ak-7,1328033.0,-2.6877704,4.36212,1328033,ak-7,False,0.0,,No metal,True
bi-2536,11364421.0,-1.2051586,5.1301737,11364421,bi-2536,False,0.0,,No metal,True
d-delta-tocopherol,92094.0,1.533441,6.4497886,92094,d-delta-tocopherol,False,0.0,,No metal,True
yk-4-279,93948843.0,-2.739281,5.1096177,93948843,yk-4-279,False,0.0,,No metal,True
ha-130,46911532.0,-0.04788937,1.2174728,46911532,ha-130,False,0.0,,No metal,True
pd-407824,4369491.0,3.410726,1.6683012,4369491,pd-407824,False,0.0,,No metal,True
bx-912,11754511.0,-0.21308672,1.3242104,11754511,bx-912,False,0.0,,No metal,True
itopride,3792.0,-2.1853707,4.733546,3792,itopride,False,0.0,,No metal,True
azm-475271,5330175.0,0.2189987,1.1585184,5330175,azm-475271,False,0.0,,No metal,True
cilazapril,56330.0,0.09609733,8.166243,56330,cilazapril,False,0.0,,No metal,True
methylprednisolone-sodium-succinate,16923.0,0.8210229,7.359818,16923,methylprednisolone-sodium-succinate,False,0.0,,No metal,True
benfluralin,2319.0,0.36612767,9.012233,2319,benfluralin,False,0.0,,No metal,True
"cp-105,696",9867257.0,0.56657445,0.46294048,9867257,"cp-105,696",False,0.0,,No metal,True
nedocromil,50294.0,-0.6949022,0.82117796,50294,nedocromil,False,0.0,,No metal,True
l-ergothioneine,3037043.0,14.977409,4.2624273,3037043,l-ergothioneine,False,0.0,,No metal,True
ikk-2-inhibitor,2807869.0,-3.682732,5.891431,2807869,ikk-2-inhibitor,False,0.0,,No metal,True
modaline,17860.0,-0.4197169,10.586796,17860,modaline,False,0.0,,No metal,True
ite,4668801.0,-0.8081665,-0.31094888,4668801,ite,False,0.0,,No metal,True
istaroxime,9841834.0,1.9256947,7.657707,9841834,istaroxime,False,0.0,,No metal,True
antimonyl,,-0.09451454,7.217558,,antimonyl,False,0.0,,No metal,True
ro-90-7501,824226.0,3.2551653,1.927428,824226,ro-90-7501,False,0.0,,No metal,True
edelfosine,6610230.0,15.429219,3.8725796,6610230,edelfosine,False,0.0,,No metal,True
t-5601640,9438169.0,-0.0029752369,0.43333063,9438169,t-5601640,False,0.0,,No metal,True
3-mppi,4013695.0,3.1499345,1.7630349,4013695,3-mppi,False,0.0,,No metal,True
asunaprevir,16076883.0,0.2813115,5.4981394,16076883,asunaprevir,False,0.0,,No metal,True
geniposide,107848.0,1.3418119,8.5251665,107848,geniposide,False,0.0,,No metal,True
jnj-38877605,46911863.0,2.9718678,2.6291022,46911863,jnj-38877605,False,0.0,,No metal,True
treprostinil,6918140.0,0.4185163,7.991309,6918140,treprostinil,False,0.0,,No metal,True
morphothiadin,129387808.0,-1.6696796,5.154927,129387808,morphothiadin,False,0.0,,No metal,True
shp099,118238298.0,-2.813903,5.2140703,118238298,shp099,False,0.0,,No metal,True
fimasartan,9870652.0,2.5630734,1.6130382,9870652,fimasartan,False,0.0,,No metal,True
amfenac,2136.0,-3.3458405,5.693086,2136,amfenac,False,0.0,,No metal,True
bismuth(iii)-trifluoromethanesulfonate,,1.3567836,7.728771,,bismuth(iii)-trifluoromethanesulfonate,True,1.0,Bi,Contains metal,True
mirin,137319711.0,-0.8080439,9.696631,137319711,mirin,False,0.0,,No metal,True
urb597,1383884.0,-2.7795873,4.98369,1383884,urb597,False,0.0,,No metal,True
atiprimod,129869.0,1.8685249,6.8166385,129869,atiprimod,False,0.0,,No metal,True
cyacetacide,8820.0,3.0772874,9.25787,8820,cyacetacide,False,0.0,,No metal,True
(r)-(-)-apomorphine,6005.0,-3.7280211,5.5801206,6005,(r)-(-)-apomorphine,False,0.0,,No metal,True
a12b4c3,,-0.9480048,4.882441,,a12b4c3,False,0.0,,No metal,True
sodium-nitrite,129009887.0,3.3085003,9.185508,129009887,sodium-nitrite,False,0.0,,No metal,True
iododexetimide,14479849.0,-2.5348344,4.4407854,14479849,iododexetimide,False,0.0,,No metal,True
ly404187,66857735.0,-2.8340065,4.6192822,66857735,ly404187,False,0.0,,No metal,True
fgin-1-27,132496.0,0.961687,0.6872235,132496,fgin-1-27,False,0.0,,No metal,True
apy0201,56927660.0,3.124002,1.7117018,56927660,apy0201,False,0.0,,No metal,True
ethoxzolamide,3295.0,-3.334927,6.0420084,3295,ethoxzolamide,False,0.0,,No metal,True
methyl-aminolevulinate,157922.0,2.8554928,9.029867,157922,methyl-aminolevulinate,False,0.0,,No metal,True
inx-08189,49862762.0,0.6522873,2.3456519,49862762,inx-08189,False,0.0,,No metal,True
nhi-2,51355147.0,-0.10711186,-0.4704371,51355147,nhi-2,False,0.0,,No metal,True
letrozole,3902.0,-0.77243006,-0.49665424,3902,letrozole,False,0.0,,No metal,True
dorsomorphin,11524144.0,3.2579563,1.3643737,11524144,dorsomorphin,False,0.0,,No metal,True
nadifloxacin,9850038.0,-2.7912295,5.5585256,9850038,nadifloxacin,False,0.0,,No metal,True
skf-81297,11957706.0,-3.5576193,5.6315804,11957706,skf-81297,False,0.0,,No metal,True
tolonium,91311512.0,15.120519,4.1347613,91311512,tolonium,False,0.0,,No metal,True
corticosterone,5753.0,2.038788,7.760051,5753,corticosterone,False,0.0,,No metal,True
kpt-276,71496742.0,-2.911798,4.3314695,71496742,kpt-276,False,0.0,,No metal,True
