name,pubchem_cid,UMAP1,UMAP2
ledipasvir,67505836,6.6551285,7.8464184
brd9876,613000,6.561084,2.0379875
drotaverine,13492,9.907202,2.7266626
skf-91488,5227,-0.9247079,6.4753156
cl316243,5486546,9.504776,2.5815902
caffeine,2519,4.8822026,9.220638
pd-98059,4713,9.250908,3.2637515
reparixin,9838712,7.062411,2.2025774
4-galactosyllactose,67743883,-1.6674587,5.4639125
cfm-2,4377504,9.761229,3.0141447
bw-180c,6917707,8.583903,2.377635
polydatin,5281718,9.971717,1.6696332
menatetrenone,5282367,7.218601,1.5741189
isamoltane,6604790,7.7624364,6.692346
pha-680632,11249084,6.292408,7.324067
9-aminocamptothecin,72402,7.4851894,6.098731
histamine,774,4.9281054,8.85596
4-hydroxy-phenazone,98889,6.6955576,3.6226547
tolnaftate,5510,9.116538,3.19941
ex-527,707029,6.5154576,6.209985
cafestol,108052,10.344667,1.6981511
indacaterol,6918554,8.779081,2.97436
tak-960,53357478,8.401571,7.4676046
rufinamide,129228,6.3406577,6.7881837
trichloroethylene,6575,-1.211647,6.035533
