name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
fpl-12495,164087,6.6013746,2.0912952,164087,fpl-12495,True,2.0,2.0,0.0,True,2 rings
puerarin,5281807,10.634829,1.90577,5281807,puerarin,True,4.0,3.0,1.0,True,4+ rings
transcrocetinate,5281232,-2.0868945,6.1361947,5281232,transcrocetinate,True,0.0,0.0,0.0,False,0 rings
iguratimod,124246,9.11097,3.5785873,124246,iguratimod,True,3.0,3.0,0.0,True,3 rings
halothane,4369439,-1.1841441,6.04217,4369439,halothane,True,0.0,0.0,0.0,False,0 rings
7-nitroindazole,1893,6.0059524,6.66116,1893,7-nitroindazole,True,2.0,2.0,0.0,True,2 rings
bupranolol,66601885,9.41376,2.4056451,66601885,bupranolol,True,1.0,1.0,0.0,True,1 ring
bi-224436,66561902,8.111468,6.6594744,66561902,bi-224436,True,5.0,4.0,1.0,True,4+ rings
chloroquine,444810,6.0101027,6.7357984,444810,chloroquine,True,2.0,2.0,0.0,True,2 rings
iloperidone,71360,8.202299,4.3217077,71360,iloperidone,True,4.0,3.0,1.0,True,4+ rings
linaprazan,9951066,6.6565785,7.9613476,9951066,linaprazan,True,3.0,3.0,0.0,True,3 rings
amn-082,1894361,6.5937104,2.183825,1894361,amn-082,True,4.0,4.0,0.0,True,4+ rings
taurolidine,29566,-1.025414,6.413514,29566,taurolidine,True,2.0,0.0,2.0,True,2 rings
ono-4817,9888141,9.623715,3.09946,9888141,ono-4817,True,2.0,2.0,0.0,True,2 rings
fluspirilene,3396,7.0165377,3.6406026,3396,fluspirilene,True,5.0,3.0,2.0,True,4+ rings
tc-mps1-12,70682875,6.4068375,7.5458465,70682875,tc-mps1-12,True,2.0,2.0,0.0,True,2 rings
sns-314,24995524,6.5409145,7.6552463,24995524,sns-314,True,4.0,4.0,0.0,True,4+ rings
e7820,196970,6.0889997,6.3692646,196970,e7820,True,3.0,3.0,0.0,True,3 rings
cresopirine,78094,10.234495,2.0923698,78094,cresopirine,True,1.0,1.0,0.0,True,1 ring
fludarabine,657237,5.40589,9.256634,657237,fludarabine,True,3.0,2.0,1.0,True,3 rings
ly393558,10347428,6.0792913,6.38572,10347428,ly393558,True,5.0,3.0,2.0,True,4+ rings
cxd101,16225380,6.375423,6.6565247,16225380,cxd101,True,4.0,3.0,1.0,True,4+ rings
picrotoxinin,7098683,-3.7098567,5.069666,7098683,picrotoxinin,True,5.0,0.0,5.0,True,4+ rings
nitrosodimethylurea,129010104,-1.1016994,6.378589,129010104,nitrosodimethylurea,True,0.0,0.0,0.0,False,0 rings
sulfabenzamide,5319,6.9673786,3.1104736,5319,sulfabenzamide,True,2.0,2.0,0.0,True,2 rings
"2,5-furandimethanol",74663,9.802216,2.022767,74663,"2,5-furandimethanol",True,1.0,1.0,0.0,True,1 ring
evodiamine,442088,6.579446,6.3309097,442088,evodiamine,True,5.0,3.0,2.0,True,4+ rings
thiocolchicoside,9915886,9.796924,2.6782265,9915886,thiocolchicoside,True,4.0,2.0,2.0,True,4+ rings
cadazolid,44242317,9.462026,4.176322,44242317,cadazolid,True,6.0,3.0,3.0,True,4+ rings
dihydromyricetin,161557,10.71932,1.7760681,161557,dihydromyricetin,True,3.0,2.0,1.0,True,3 rings
exatecan-mesylate,151115,7.438067,6.076869,151115,exatecan-mesylate,True,6.0,3.0,3.0,True,4+ rings
sulbactam,130313,-1.759145,7.31218,130313,sulbactam,True,2.0,0.0,2.0,True,2 rings
mafenide,3998,6.737541,2.0449505,3998,mafenide,True,1.0,1.0,0.0,True,1 ring
midostaurin,9829523,6.6076226,6.247801,9829523,midostaurin,True,9.0,6.0,3.0,True,4+ rings
ameltolide,13086,7.2112904,3.3383121,13086,ameltolide,True,2.0,2.0,0.0,True,2 rings
a-784168,11420211,6.4156833,7.4189467,11420211,a-784168,True,3.0,2.0,1.0,True,3 rings
oc000459,11462174,6.3248806,6.31968,11462174,oc000459,True,4.0,4.0,0.0,True,4+ rings
pf-477736,135565545,6.53908,6.3563786,135565545,pf-477736,True,5.0,3.0,2.0,True,4+ rings
carboxylosartan,108185,6.7954206,8.122208,108185,carboxylosartan,True,4.0,4.0,0.0,True,4+ rings
tg-100713,17751063,8.124483,7.5898595,17751063,tg-100713,True,3.0,3.0,0.0,True,3 rings
hpgds-in-1,46700750,6.3037,7.9379253,46700750,hpgds-in-1,True,4.0,4.0,0.0,True,4+ rings
