name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
amphotericin-b,91827561.0,10.458469,2.439839,91827561,amphotericin-b,True,3.0,0.0,3.0,True,3 rings
s18986,637863.0,3.870827,2.034625,637863,s18986,True,3.0,1.0,2.0,True,3 rings
luzindole,122162.0,10.104245,0.28617942,122162,luzindole,True,3.0,3.0,0.0,True,3 rings
posaconazole,468595.0,11.142825,-1.5763375,468595,posaconazole,True,7.0,5.0,2.0,True,4+ rings
diphemanil,6127.0,11.016318,0.44828555,6127,diphemanil,True,3.0,2.0,1.0,True,3 rings
methoxyamine,4113.0,8.651664,1.7819424,4113,methoxyamine,True,0.0,0.0,0.0,False,0 rings
perphenazine,4748.0,11.157552,0.14207146,4748,perphenazine,True,4.0,2.0,2.0,True,4+ rings
ap-18,9584673.0,8.589503,1.5695502,9584673,ap-18,True,1.0,1.0,0.0,True,1 ring
isoleucine,76551.0,9.466282,1.8618968,76551,isoleucine,True,0.0,0.0,0.0,False,0 rings
vlx600,6806409.0,8.914136,-0.45978737,6806409,vlx600,True,4.0,4.0,0.0,True,4+ rings
lamivudine,60825.0,11.823592,-2.8132286,60825,lamivudine,True,2.0,1.0,1.0,True,2 rings
hemomex-s,11468733.0,8.103523,3.8286903,11468733,hemomex-s,True,4.0,0.0,4.0,True,4+ rings
baloxavir-marboxil,124081896.0,11.437973,-1.4487528,124081896,baloxavir-marboxil,True,6.0,3.0,3.0,True,4+ rings
allylestrenol,235905.0,8.280777,3.92079,235905,allylestrenol,True,4.0,0.0,4.0,True,4+ rings
fulvestrant,57300161.0,7.799526,3.2820153,57300161,fulvestrant,True,4.0,1.0,3.0,True,4+ rings
rwj-21757,135410906.0,11.904975,-2.5085304,135410906,rwj-21757,True,3.0,2.0,1.0,True,3 rings
ttp-22,1536915.0,8.75757,0.33825856,1536915,ttp-22,True,3.0,3.0,0.0,True,3 rings
jnj-26990990,11687376.0,4.228937,2.2532716,11687376,jnj-26990990,True,2.0,2.0,0.0,True,2 rings
taurocholate,6675.0,4.8038116,1.8111596,6675,taurocholate,True,4.0,0.0,4.0,True,4+ rings
acy-1215,53340666.0,9.746774,1.1742083,53340666,acy-1215,True,3.0,3.0,0.0,True,3 rings
aniracetam,2196.0,11.568178,-0.117949896,2196,aniracetam,True,2.0,1.0,1.0,True,2 rings
nocodazole,4122.0,8.644549,-0.36667836,4122,nocodazole,True,3.0,3.0,0.0,True,3 rings
tenofovir,464205.0,11.3627825,-2.3104627,464205,tenofovir,True,2.0,2.0,0.0,True,2 rings
opicapone,135565903.0,7.8308587,-1.0017844,135565903,opicapone,True,3.0,3.0,0.0,True,3 rings
trans-2-undecenoic-acid,5282728.0,8.609106,2.7321954,5282728,trans-2-undecenoic-acid,True,0.0,0.0,0.0,False,0 rings
brefeldin-a,5287620.0,7.970366,3.121252,5287620,brefeldin-a,True,2.0,0.0,2.0,True,2 rings
xibenolol,12179892.0,10.581138,1.9183604,12179892,xibenolol,True,1.0,1.0,0.0,True,1 ring
plx647,11545419.0,9.048727,-0.1787472,11545419,plx647,True,4.0,4.0,0.0,True,4+ rings
ak-7,1328033.0,3.9710815,1.7847855,1328033,ak-7,True,3.0,2.0,1.0,True,3 rings
bi-2536,11364421.0,11.328838,-1.4706497,11364421,bi-2536,True,5.0,2.0,3.0,True,4+ rings
d-delta-tocopherol,92094.0,7.8700986,3.4000862,92094,d-delta-tocopherol,True,2.0,1.0,1.0,True,2 rings
yk-4-279,93948843.0,9.570994,0.47037932,93948843,yk-4-279,True,3.0,2.0,1.0,True,3 rings
