compound_embedding_row_index,compound_name,n_profiles,mean_source_normalized_error_z,source_normalized_inverted_score,recomputed_n_profiles,recomputed_mean_source_normalized_error_z,profile_count_difference,mean_error_difference
4106,2-(2-hydroxyphenyl)-3-(2-phenylethyl)quinazolin-4-one; 2-(2-hydroxyphenyl)-3-phenethylquinazolin-4(3H)-one,1,0.16151247864943,0.7917021264092452,1,0.16151247864943,0,0.0
6245,"BRD-K68313733; N-(1,3-dioxaindan-5-yl)-2-chloro-N-{[2-(prop-2-en-1-yloxy)phenyl]methyl}acetamide",18,0.7436700878729817,0.6743121263632554,18,0.7436700878729817,0,0.0
320,LY-2228820; Ralimetinib,8,0.7438330365880016,0.6742792683375927,8,0.7438330365880016,0,0.0
90,(+)-Gibberellic Acid; MD-920,6,0.8393005594189781,0.6550285837601533,6,0.8393005594189781,0,0.0
1437,(+-)-Chlorpheniramine; BRD-A04553218,1,0.7444111045188571,0.6741627030065644,1,0.7444111045188571,0,0.0
1007,2-(4-(3-(4-Acetyl-3-hydroxy-2-propylphenoxy)propoxy)phenoxy)acetic acid; L-2167,5,0.7450127518032351,0.6740413829832206,5,0.7450127518032351,0,0.0
5431,HA-1004; N-(2-((Aminoiminomethyl)amino)ethyl)-5-isoquinolinesulfonamide,6,0.7474008514206427,0.6735598312354539,6,0.7474008514206427,0,0.0
2416,(3R)-4-(2-(1H-indol-4-yl)-6-(1-methylsulfonylcyclopropyl)pyrimidin-4-yl)-3-methylmorpholine; AZ-20,40,0.7435809698397124,0.6743300966959692,40,0.7435809698397124,0,0.0
6302,"BRD-A74983348; acetic acid [(1S)-1-hydroxy-1,10a,12a-trimethyl-8-oxo-2,3,4,4a,4b,5,6,9,10,10b,11,12-dodecahydrochrysen-2-yl] ester",1,0.7483309909520971,0.6733722719252082,1,0.7483309909520971,0,0.0
4326,cabergoline,6,-0.2927799634521685,0.8833085727637421,6,-0.29277996345216845,0,-5.551115123125783e-17
7938,Ro 16-6491; Ro-16-6941,1,0.7485574547357452,0.6733266063130928,1,0.7485574547357452,0,0.0
15232,WH-4025,24,0.7487593820453933,0.6732858883932146,24,0.7487593820453934,0,-1.1102230246251565e-16
8240,(9-Oxo-2-fluorenyl)phosphonic acid; BRD-K69695287,1,0.7496480505413393,0.6731066915689746,1,0.7496480505413393,0,0.0
2656,4-[(S)-amino(carboxy)methyl]-3-methylbenzoic acid,4,0.166120981075974,0.790772838375399,4,0.166120981075974,0,0.0
5632,"2-[2-oxo-2-(2,2,4-trimethyl-3,4-dihydroquinolin-1-yl)ethyl]isoindole-1,3-dione; ML SA1",3,0.1661351269025043,0.7907699859200661,3,0.16613512690250432,0,-2.7755575615628914e-17
86,25-Hydroxyvitamin D3; calcifediol,7,0.750388801358741,0.6729573218156447,7,0.750388801358741,0,0.0
17147,thiamphenicol,5,0.8829528871423987,0.6462262479798231,5,0.8829528871423987,0,0.0
7000,"BRD-K65160467; N-[(2S,3R)-5-[(2S)-1-hydroxypropan-2-yl]-2-[[(4-methoxyphenyl)methyl-methylamino]methyl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-2-phenylacetamide",1,0.7509391490827114,0.6728463461652048,1,0.7509391490827114,0,0.0
6595,"BRD-A82197375; Ethyl 4-oxo-4-[(18-phenyl-11-oxa-13,15-diazatetracyclo[8.8.0.02,7.012,17]octadeca-1(10),2,4,6,8,12,14,16-octaen-16-yl)amino]butanoate",3,0.7521497838286924,0.6726022259980289,3,0.7521497838286924,0,0.0
8282,BRD-K04887706,41,0.7524923439635699,0.6725331499718601,41,0.7524923439635699,0,0.0
7861,"BRD-K53011428; N-(3-chloro-4-fluorophenyl)-5-pyridin-4-yl-1,3,4-thiadiazol-2-amine",4,0.7535139866719751,0.6723271393732069,4,0.7535139866719751,0,0.0
894,"(9Z,11E,13S)-13-Hydroxyoctadeca-9,11-Dienoic Acid; HO-013",3,0.753529768053009,0.6723239571141573,3,0.753529768053009,0,0.0
