murcko_scaffold,n_compounds
c1ccc2c(c1)ccc[n+]2CCCCCCCCCC[n+]1cccc2ccccc21,1
c1ccc2c(c1)ncc1nccn12,1
c1ccc2c(c1)ncn2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,1
c1ccc2c3c([nH]c2c1)CNCC3,1
c1ccc2cnccc2c1,1
c1cncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c1,1
c1ccc2nc3ccccc3cc2c1,1
c1ccc2sc(Cc3ccnc(OCc4ccc(CN5CCOCC5)cc4)n3)nc2c1,1
c1ccc2scnc2c1,1
c1cnc(CNc2nccc(Nc3ccn[nH]3)n2)nc1,1
c1cnc(N2CCC(CNCc3c[nH]c4ccccc34)CC2)nc1,1
c1cncc(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)c1,1
c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1,1
c1ccc(Nc2ncnc3[nH]cnc23)cc1,1
c1ccc(-c2n[nH]cc2-c2ccc3c(c2)OCCO3)cc1,1
c1ccc(C2=Nn3c(nnc3-c3ccccc3)SC2)cc1,1
c1ccc(C2CC2)cc1,1
c1ccc(C2CCCc3ccccc32)cc1,1
c1ccc(C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,1
c1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,1
c1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,1
c1ccc(C2OCc3ccccc32)cc1,1
c1ccc(CC2CCCN2)cc1,1
c1ccc(CCCCNCCc2ccccc2)cc1,1
c1ccc(CCCCNCc2ccc(-c3ccccn3)cc2)cc1,1
c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1,1
c1ccc(CCCNCc2cccc3ccccc23)cc1,1
c1ccc(CCNCCCCCCOCCOCc2ccccc2)cc1,1
c1ccc(CCc2cnc3ncncc3n2)cc1,1
c1ccc(CNCCc2c[nH]c3ccccc23)cc1,1
c1ccc(CNc2ccccc2)cc1,1
c1ccc(C2CC(c3ccc4c(c3)OCO4)CN2)cc1,1
c1ccc(C2=NCc3nncn3-c3sccc32)cc1,1
c1ccc(Nc2nccc(Oc3ccc4[nH]ccc4c3)n2)cc1,1
c1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,1
c1ccc(-c2n[nH]cc2-c2ccncn2)cc1,1
c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,1
c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,1
c1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,1
c1ccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)cc1,1
c1ccc(-c2nc3c(c(N4CCOCC4)n2)CCN(C2COC2)C3)cc1,1
c1ccc(-c2nc[nH]c2-c2ccc3nc[nH]c3n2)cc1,1
c1ccc(-c2nccc(NCc3cccnc3)n2)cc1,1
c1ccc(-c2ncn(-c3ncnc4ccccc34)n2)nc1,1
c1ccc(-c2ncn(C3CCCCC3)c2-c2ccncn2)cc1,1
c1ccc(-n2ccc(CCc3ccc4ccccc4[nH+]3)c2)cc1,1
c1ccc(-n2ncc3c(-n4cnc(-c5cn[nH]c5)c4)ccnc32)cc1,1
c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1,1
O=C1OCC2C3=C(C(=O)c4occ1c42)C1CCC(=O)C1CC3,1
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,1
c1ccc(CNc2nc(-c3ccccn3)nnc2-c2ccccc2)cc1,1
c1ccc(CNc2ncnc3ccc(OC4CCOC4)cc23)cc1,1
c1ccc(COC(Cn2cc[n+](C(c3ccccc3)c3ccccc3)c2)c2ccccc2)cc1,1
c1ccc(COc2ccc(Nc3ccnc4ccccc34)cc2)nc1,1
c1ccc(Nc2cc(Nc3ccccn3)nc3[nH]ccc23)cc1,1
c1ccc(Nc2ccc3ncc(-c4cn[nH]c4)nc3c2)cc1,1
c1ccc(Nc2cccnc2)cc1,1
c1ccc(Nc2ccnc(Nc3ccc(C4CCNCC4)cc3)n2)cc1,1
c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,1
c1ccc(Nc2ccnc(Nc3ccc(OCCN4CCCC4)cc3)n2)cc1,1
c1ccc(Nc2ccnc(Nc3ccc(Oc4ccncc4)cc3)n2)cc1,1
c1ccc(Nc2ccnc(Nc3ccc4c(c3)CCCC(N3CCNCC3)C4)n2)cc1,1
c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,1
c1ccc(Nc2ccnc3ccccc23)cc1,1
c1ccc(Nc2nc(NC3CCCCC3)nc3[nH]cnc23)cc1,1
c1ccc(Nc2nc3cc(Oc4ccnc(-c5ncc[nH]5)c4)ccc3[nH]2)cc1,1
c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,1
c1ccc(Nc2nccc(NCc3cnccn3)n2)cc1,1
c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1,1
c1ccc(NCc2cnc3ncncc3n2)cc1,1
c1ccc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccccc3)n2)cc1,1
c1ccc(NC2=NCCN2)cc1,1
c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,1
c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,1
c1ccc(COc2ccc3[nH]c4cnccc4c3c2)cc1,1
c1ccc(COc2ccccc2)cc1,1
c1ccc(COc2ccccc2OCc2ccccc2)cc1,1
c1ccc(COc2csc(-n3cnc4ccc(CN5CCNCC5)cc43)c2)cc1,1
c1ccc(COc2csc(-n3cnc4ccccc43)c2)cc1,1
c1ccc(Cc2c3ccccc3nc3ccccc23)cc1,1
c1ccc(N=Nc2ccccc2)cc1,1
c1ccc(Cc2cccc(C3CCCCO3)c2)cc1,1
c1ccc(Cc2ccccc2)cc1,1
c1ccc(Cc2ccccc2OCCN2CCCCC2)cc1,1
c1ccc(Cc2cnc3c(CN4CCOCC4)cc(Nc4ccn[nH]4)nn23)cc1,1
c1ccc(Cn2ccc3ccccc32)cc1,1
c1ccc(Cn2cnc3cncnc32)nc1,1
O=C1OCc2ccccc21,1
O=C1NCCc2c(-c3ccccc3)[nH]c3cccc1c23,1
O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,1
O=C(CNC(=O)c1ccc2ccccc2n1)NC(CCN1CCC2CCCCC2C1)Cc1ccccc1,1
O=C(CNC(=O)c1ccccc1)NCB1OCCC(=O)O1,1
O=C(CNC(=O)c1cncs1)NCC(=O)NC(Cc1ccccc1)C(=O)C1CO1,1
