compound_1,compound_2,pubchem_cid_1,pubchem_cid_2,morgan_tanimoto,maccs_tanimoto,cactvs_pubchem_tanimoto
isosorbide-dinitrate,tetroquinone,6883.0,36689751.0,0.06896551724137931,0.2553191489361702,0.3382352941176471
isosorbide-dinitrate,amineptine,6883.0,38988248.0,0.05660377358490566,0.15151515151515152,0.1450381679389313
isosorbide-dinitrate,valethamate,6883.0,38989053.0,0.03571428571428571,0.19696969696969696,0.19327731092436976
isosorbide-dinitrate,octocrylene,6883.0,40424580.0,0.03278688524590164,0.16129032258064516,0.20353982300884957
isosorbide-dinitrate,revaprazan,6883.0,40462255.0,0.045454545454545456,0.14473684210526316,0.0718232044198895
isosorbide-dinitrate,fleroxacin,6883.0,40466912.0,0.03125,0.27848101265822783,0.12352941176470589
isosorbide-dinitrate,apy-29,6883.0,42627755.0,0.04411764705882353,0.17647058823529413,0.08056872037914692
isosorbide-dinitrate,vu0238429,6883.0,42633508.0,0.03333333333333333,0.3382352941176471,0.13227513227513227
isosorbide-dinitrate,a66,6883.0,42636535.0,0.04225352112676056,0.17857142857142858,0.11049723756906077
isosorbide-dinitrate,osilodrostat,6883.0,44139752.0,0.03389830508474576,0.1746031746031746,0.10982658959537572
isosorbide-dinitrate,mut056399,6883.0,44208849.0,0.03508771929824561,0.16417910447761194,0.14814814814814814
isosorbide-dinitrate,filanesib,6883.0,44224257.0,0.02631578947368421,0.27906976744186046,0.1310344827586207
isosorbide-dinitrate,as-1949490,6883.0,44473434.0,0.03076923076923077,0.24615384615384617,0.14054054054054055
isosorbide-dinitrate,ml347,6883.0,44577753.0,0.015151515151515152,0.3220338983050847,0.1038961038961039
isosorbide-dinitrate,cym-50260,6883.0,44620894.0,0.018867924528301886,0.23809523809523808,0.14689265536723164
isosorbide-dinitrate,edasalonexent,6883.0,44626120.0,0.05172413793103448,0.2361111111111111,0.13636363636363635
isosorbide-dinitrate,mln0128,6883.0,45375953.0,0.015384615384615385,0.24285714285714285,0.099601593625498
isosorbide-dinitrate,ly2784544,6883.0,46213929.0,0.024096385542168676,0.26506024096385544,0.11059907834101383
isosorbide-dinitrate,gsk2256098,6883.0,46214930.0,0.04054054054054054,0.2692307692307692,0.09767441860465116
isosorbide-dinitrate,jzl-195,6883.0,46232606.0,0.1111111111111111,0.4492753623188406,0.1696969696969697
isosorbide-dinitrate,derazantinib,6883.0,46834118.0,0.0375,0.2,0.09547738693467336
isosorbide-dinitrate,gynostemma-extract,6883.0,46887681.0,0.08791208791208792,0.323943661971831,0.2920353982300885
isosorbide-dinitrate,gsk923295,6883.0,46898058.0,0.031914893617021274,0.29069767441860467,0.10984848484848485
isosorbide-dinitrate,ha-130,6883.0,46911532.0,0.02666666666666667,0.3466666666666667,0.16981132075471697
isosorbide-dinitrate,gdc-0575,6883.0,46917793.0,0.043478260869565216,0.17647058823529413,0.08866995073891626
isosorbide-dinitrate,dinaciclib,6883.0,46926350.0,0.04819277108433735,0.3717948717948718,0.12315270935960591
isosorbide-dinitrate,p22077,6883.0,46931953.0,0.08771929824561403,0.3492063492063492,0.15827338129496402
isosorbide-dinitrate,i-bet-762,6883.0,46943432.0,0.05263157894736842,0.2891566265060241,0.1111111111111111
isosorbide-dinitrate,bms-986020,6883.0,49792850.0,0.07246376811594203,0.2972972972972973,0.14925373134328357
isosorbide-dinitrate,cym-50769,6883.0,50904505.0,0.05,0.3188405797101449,0.14772727272727273
isosorbide-dinitrate,aqw-051,6883.0,50914822.0,0.07017543859649122,0.2903225806451613,0.12953367875647667
