moa_annotation,lowest_observed_count,highest_observed_count,lowest_observed_percent,highest_observed_percent,total_extreme_count
Leucine rich repeat kinase inhibitor,0,1,0.0,0.6993006993006993,1
Focal adhesion kinase inhibitor,1,0,0.8130081300813008,0.0,1
"LIM kinase activator, Coflilin signaling pathway activator, Rho associated kinase activator",0,1,0.0,0.6993006993006993,1
GK0582 inhibitor,1,0,0.8130081300813008,0.0,1
GSK-3 inhibitor,1,0,0.8130081300813008,0.0,1
"GSK-3 inhibitor, CDK inhibitor, CFTR channel agonist",1,0,0.8130081300813008,0.0,1
"Glucocorticoid receptor agonist, Corticosteroid agonist",0,1,0.0,0.6993006993006993,1
"Glucocorticoid receptor agonist, Cytochrome P450 inhibitor, Corticosteroid agonist",0,1,0.0,0.6993006993006993,1
"Glucocorticoid receptor antagonist, Progesterone receptor antagonist, Progesterone receptor agonist, Estrogen receptor agonist",0,1,0.0,0.6993006993006993,1
Glycogen synthase kinase inhibitor,1,0,0.8130081300813008,0.0,1
"Growth factor receptor inhibitor, Aurora kinase inhibitor",0,1,0.0,0.6993006993006993,1
"Growth factor receptor inhibitor, CDK inhibitor",0,1,0.0,0.6993006993006993,1
"Growth factor receptor inhibitor, JAK inhibitor, FLT3 inhibitor",0,1,0.0,0.6993006993006993,1
HCN channel blocker | potassium channel blocker | sodium channel blocker,1,0,0.8130081300813008,0.0,1
HDACs,0,1,0.0,0.6993006993006993,1
HER2 (erbB2) Inhibitors,0,1,0.0,0.6993006993006993,1
HIF modulator,0,1,0.0,0.6993006993006993,1
HMGCR inhibitor,0,1,0.0,0.6993006993006993,1
Heat Shock Protein 90 (hsp90) Inhibitors,0,1,0.0,0.6993006993006993,1
Histone Deacetylase 1 (HDAC1) Inhibitors,0,1,0.0,0.6993006993006993,1
Histone Deacetylase 2 (HDAC2) Inhibitors,0,1,0.0,0.6993006993006993,1
Immunosuppressant,0,1,0.0,0.6993006993006993,1
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,0,1,0.0,0.6993006993006993,1
Interleukin synthesis inhibitor,1,0,0.8130081300813008,0.0,1
Irreversible EGFR (HER1,0,1,0.0,0.6993006993006993,1
JAK inhibitor,0,1,0.0,0.6993006993006993,1
"JAK inhibitor, FLT3 inhibitor",1,0,0.8130081300813008,0.0,1
JNK inhibitor,1,0,0.8130081300813008,0.0,1
xanthine oxidase inhibitor,1,0,0.8130081300813008,0.0,1
