compound_embedding_row_index,actual_predictability,predicted_predictability,compound_name
5170,0.9198891,0.82420766,Rucaparib (phosphate); Rucaparib Phosphate
1364,0.9382522,0.8197977,Dinaciclib
1420,0.9044579,0.8207016,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib
1916,0.8723075,0.89803535,"[(1S,2R,4S)-4-[(2R)-2-[(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32R,35R)-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-2,3,10,14,20-pentaoxo-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraen-12-yl]propyl]-2-methoxycyclohexyl] 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoate; temsirolimus"
1823,0.77579683,0.85199785,Mithramycin; Plicamycin
3484,0.93554246,0.83394814,Gemcitabine
6642,0.9929398,0.8307249,XL-888; XL888
3661,0.8961087,0.810835,"4-(2,6-dichlorobenzoylamino)-1H-pyrazole-3-carboxylic acid piperidin-4-ylamide; AT7519"
3578,0.9278086,0.81202203,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat
1832,0.90866876,0.88977706,"1,18-Dihydroxy-12-[1-[4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; Everolimus; everolimus"
2431,0.98882693,0.87249756,"3-[(1R,3R,5S,8R,9S,10R,11R,13R,14S,17R)-1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2H-furan-5-one; ouabain"
2278,0.99367535,0.95455563,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin"
1827,0.9876737,0.92657024,Geldanamycin; geldanamycin
3968,0.91537964,0.8143678,"(5Z)-5-[(4-pyridin-4-ylquinolin-6-yl)methylidene]-1,3-thiazolidine-2,4-dione; Gsk-1059615"
4527,0.9881312,0.9088901,topotecan
132,0.9956928,0.92377836,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate"
2275,0.98371625,0.96144885,Epirubicin; epirubicin
3589,0.84889704,0.80499995,"(Z)-3-[3-[3,5-bis(trifluoromethyl)phenyl]-1,2,4-triazol-1-yl]-N'-pyrazin-2-ylprop-2-enehydrazide; Selinexor"
1880,0.9781579,0.88112414,Wortmannin from Penicillium funiculosum; wortmannin
295,0.9757721,0.9563592,Idarubicin; idarubicin
4117,0.97693914,0.81660175,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002
789,0.92006755,0.83676374,Volasertib
1919,0.9747945,0.83228314,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid
5028,0.9661639,0.8485049,PD-0325901
3990,0.965633,0.8495949,Narciclasine; narciclasine
4018,0.9699286,0.8621439,Mitoxantrone; mitoxantrone
724,0.9060779,0.81976604,Tofacitinib
706,0.96450067,0.85827017,Withaferin A; withaferin-a
5161,0.8672275,0.82223874,Neratinib (maleate); Neratinib Maleate
4528,0.9619089,0.89575016,camptothecin
4646,0.965197,0.8885366,emetine
5534,0.91912085,0.83491516,Folic Acid; Folic acid
3065,0.9572974,0.8578371,Dactolisib; NVP-BEZ235
444,0.95635915,0.8199617,MG-132
3482,0.97721076,0.8149605,Entinostat; entinostat
3637,0.9560451,0.8493881,Pitavastatin Calcium; pitavastatin
3737,0.9565416,0.8235319,Niclosamide; niclosamide
1671,0.95493567,0.8456129,AZD-2014; Vistusertib
2953,0.95454603,0.8556226,PF-03758309; PF-3758309
5360,0.95447344,0.8726095,"[(6R,7S,8R)-11-Amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl]methyl carbamate; mitomycin-c"
4070,0.9533738,0.8118119,2'-Deoxy-alpha-D-ribofuranosyl-5-fluorouracil; floxuridine
1112,0.952999,0.8412918,NVP-AUY922
3692,0.9519396,0.845664,Ro-4987655
1956,0.9486556,0.8474164,Lrrk2-IN-1; XMD-1150
3007,0.9483127,0.8419914,BRD-K54606188; JQ1 compound
267,0.9022159,0.8798685,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel"
136,0.9389223,0.893438,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; Tacrolimus"
559,0.9470695,0.80960524,Ganetespib; ganetespib
424,0.9468645,0.8484451,PHA-793887; Pha-793887
1760,0.9406644,0.8599051,Hydroflumethiazide; reserpine; mepireserpate
3756,0.94641685,0.8299387,"1-(4-(4-(3-Oxa-8-azabicyclo(3.2.1)octan-8-yl)-6-morpholino-1,3,5-triazin-2-yl)phenyl)-3-(pyridin-4-yl)urea; PKI-179"
2545,0.9470727,0.88539255,Strophanthidin; strophanthidin
24172,0.94636256,0.8197029,Mln4924
2171,0.94320333,0.825387,"(4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl)(2,3-difluoro-6-methoxyphenyl)methanone; R-547"
4657,0.9413311,0.91555727,SN-38
1278,0.9443877,0.8897667,Ascomycin; sirolimus
3488,0.9028313,0.84524715,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one; Cytarabine; cytarabine"
427,0.94386816,0.83560085,Bortezomib
4915,0.9366466,0.8506893,lestaurtinib
20066,0.9507042,0.86922103,digitoxigenin
242,0.87595475,0.9138187,Docetaxel
760,0.93696475,0.8318402,Clobetasol Propionate; clobetasol
1643,0.93622917,0.82261866,"1-(4-(1-(1,4-Dioxaspiro(4.5)decan-8-yl)-4-(8-oxa-3-azabicyclo(3.2.1)octan-3-yl)pyrazolo(3,4-d)pyrimidin-6-yl)phenyl)-3-methylurea; WYE-125132"
3459,0.93574995,0.8311734,"9-(6-Aminopyridin-3-yl)-1-(3-(trifluoromethyl)phenyl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-2"
5,0.9354466,0.82335985,Pralatrexate; pralatrexate
6372,0.9348374,0.8434452,MLN-9708; Mln9708
998,0.9344735,0.8239315,CYT-997; Lexibulin
