compound_embedding_row_index,compound_name,observed_predictability_group,actual_predictability,moa,moa_annotation
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,Highest observed predictability,0.9747945,IMPDH inhibitor;Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;antiviral;Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,Highest observed predictability,0.9747945,IMPDH inhibitor;Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;antiviral;Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor,antiviral
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,Highest observed predictability,0.9747945,IMPDH inhibitor;Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;antiviral;Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor,dehydrogenase inhibitor | inositol monophosphatase inhibitor
5028,PD-0325901,Highest observed predictability,0.9661639,"MEK inhibitor, Protein kinase inhibitor, MAP kinase inhibitor","MEK inhibitor, Protein kinase inhibitor, MAP kinase inhibitor"
3990,Narciclasine; narciclasine,Highest observed predictability,0.965633,"LIM kinase activator, Coflilin signaling pathway activator, Rho associated kinase activator","LIM kinase activator, Coflilin signaling pathway activator, Rho associated kinase activator"
4018,Mitoxantrone; mitoxantrone,Highest observed predictability,0.9699286,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
724,Tofacitinib,Highest observed predictability,0.9060779,JAK inhibitor; inhibitor/antagonist,JAK inhibitor
706,Withaferin A; withaferin-a,Highest observed predictability,0.96450067,IKK inhibitor,IKK inhibitor
4528,camptothecin,Highest observed predictability,0.9619089,Topoisomerase inhibitor,Topoisomerase inhibitor
4646,emetine,Highest observed predictability,0.965197,Protein synthesis inhibitor,Protein synthesis inhibitor
3065,Dactolisib; NVP-BEZ235,Highest observed predictability,0.9572974,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor | PI3K inhibitor","MTOR inhibitor, PI3K inhibitor"
3065,Dactolisib; NVP-BEZ235,Highest observed predictability,0.9572974,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor | PI3K inhibitor",mTOR inhibitor | PI3K inhibitor
444,MG-132,Highest observed predictability,0.95635915,Proteasome inhibitor; proteasome inhibitor,Proteasome inhibitor
444,MG-132,Highest observed predictability,0.95635915,Proteasome inhibitor; proteasome inhibitor,proteasome inhibitor
3482,Entinostat; entinostat,Highest observed predictability,0.97721076,HDAC inhibitor,HDAC inhibitor
3637,Pitavastatin Calcium; pitavastatin,Highest observed predictability,0.9560451,HMGCR inhibitor,HMGCR inhibitor
3737,Niclosamide; niclosamide,Highest observed predictability,0.9565416,"DNA replication inhibitor | STAT inhibitor; STAT inhibitor, DNA replication inhibitor",DNA replication inhibitor | STAT inhibitor
3737,Niclosamide; niclosamide,Highest observed predictability,0.9565416,"DNA replication inhibitor | STAT inhibitor; STAT inhibitor, DNA replication inhibitor","STAT inhibitor, DNA replication inhibitor"
1671,AZD-2014; Vistusertib,Highest observed predictability,0.95493567,mTOR inhibitor,mTOR inhibitor
2953,PF-03758309; PF-3758309,Highest observed predictability,0.95454603,P21 activated kinase inhibitor; p21 activated kinase inhibitor,P21 activated kinase inhibitor
2953,PF-03758309; PF-3758309,Highest observed predictability,0.95454603,P21 activated kinase inhibitor; p21 activated kinase inhibitor,p21 activated kinase inhibitor
5360,"[(6R,7S,8R)-11-Amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl]methyl carbamate; mitomycin-c",Highest observed predictability,0.95447344,DNA alkylating agent | DNA synthesis inhibitor,DNA alkylating agent | DNA synthesis inhibitor
4070,2'-Deoxy-alpha-D-ribofuranosyl-5-fluorouracil; floxuridine,Highest observed predictability,0.9533738,DNA synthesis inhibitor,DNA synthesis inhibitor
1112,NVP-AUY922,Highest observed predictability,0.952999,HSP inhibitor,HSP inhibitor
3692,Ro-4987655,Highest observed predictability,0.9519396,MEK inhibitor,MEK inhibitor
1956,Lrrk2-IN-1; XMD-1150,Highest observed predictability,0.9486556,Leucine rich repeat kinase inhibitor; leucine rich repeat kinase inhibitor,Leucine rich repeat kinase inhibitor
1956,Lrrk2-IN-1; XMD-1150,Highest observed predictability,0.9486556,Leucine rich repeat kinase inhibitor; leucine rich repeat kinase inhibitor,leucine rich repeat kinase inhibitor
3007,BRD-K54606188; JQ1 compound,Highest observed predictability,0.9483127,bromodomain inhibitor,bromodomain inhibitor
