pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,moa_clean,moa_category
11242315,rx-3117,11242315.0,2.3982234,9.659439,Morgan + MACCS + CACTVS + descriptors,rx-3117,CDK inhibitor|DNA synthesis inhibitor,Other MoA
11245456,cdppb,11245456.0,7.492312,10.682806,Morgan + MACCS + CACTVS + descriptors,cdppb,glutamate receptor positive allosteric modulator,Other MoA
11247522,mk-2295,11247522.0,6.9195876,10.511041,Morgan + MACCS + CACTVS + descriptors,mk-2295,TRPV antagonist,Other MoA
11248490,briciclib,11248490.0,8.355733,5.601813,Morgan + MACCS + CACTVS + descriptors,briciclib,cyclin D inhibitor,Other MoA
11249084,pha-680632,11249084.0,7.4874034,10.844322,Morgan + MACCS + CACTVS + descriptors,pha-680632,Aurora kinase inhibitor,Other MoA
11249248,bms-299897,11249248.0,8.249162,8.467862,Morgan + MACCS + CACTVS + descriptors,bms-299897,gamma secretase inhibitor,Other MoA
11249932,tmc-353121,11249932.0,10.193709,9.989028,Morgan + MACCS + CACTVS + descriptors,tmc-353121,RSV fusion inhibitor,Other MoA
11250133,procyanidin-b-2,11250133.0,8.859265,4.8504906,Morgan + MACCS + CACTVS + descriptors,procyanidin-b-2,,Unknown
11250647,elagolix,11250647.0,8.965422,7.0148826,Morgan + MACCS + CACTVS + descriptors,elagolix,gonadotropin releasing factor hormone receptor antagonist,Other MoA
11256587,amd11070,11256587.0,6.9233108,10.672874,Morgan + MACCS + CACTVS + descriptors,amd11070,CC chemokine receptor antagonist,Other MoA
11256664,fg-4592,11256664.0,9.29995,10.376753,Morgan + MACCS + CACTVS + descriptors,fg-4592,hypoxia inducible factor prolyl hydroxylase inhibitor,Other MoA
