source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::ponatinib::XC.P904::::24H::1.11uM::ASG003::P14::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::BI-2536::XC.P904::::24H::10uM::ASG003::D04::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::dabrafenib::XC.P904::::24H::10uM::ASG003::H16::BRD-K09951645,dabrafenib,brd-k09951645,dabrafenib
L1000,L1000::palbociclib::XC.P904::::24H::1.11uM::ASG003::K17::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::RITA::XC.P904::::24H::0.12uM::ASG003::A24::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::panobinostat::XC.P904::::24H::0.12uM::ASG003::P03::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::alvocidib::XC.P904::::24H::0.12uM::ASG003::J21::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::thioridazine::XC.P904::::24H::10uM::ASG003::M01::BRD-A84481105,thioridazine,brd-a84481105,thioridazine
L1000,L1000::dasatinib::XC.P904::::24H::1.11uM::ASG003::N02::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::nocodazole::XC.P904::::24H::10uM::ASG003::I01::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::raloxifene::XC.P904::::24H::10uM::ASG003::I13::BRD-K63828191,raloxifene,brd-k63828191,raloxifene
L1000,L1000::gefitinib::XC.P904::::24H::10uM::ASG003::C13::BRD-K64052750,gefitinib,brd-k64052750,gefitinib
L1000,L1000::trametinib::XC.P904::::24H::10uM::ASG003::N16::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::AZ-628::XC.P904::::24H::1.11uM::ASG003::J14::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::nocodazole::XC.P904::::24H::1.11uM::ASG003::I02::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::AZ-628::XC.P904::::24H::10uM::ASG003::J13::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::vemurafenib::XC.P904::::24H::10uM::ASG003::H07::BRD-K56343971,vemurafenib,brd-k56343971,vemurafenib
L1000,L1000::PI-103::XC.P904::::24H::10uM::ASG003::F13::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::masitinib::XC.P904::::24H::10uM::ASG003::P22::BRD-K71035033,masitinib,brd-k71035033,masitinib
L1000,L1000::nocodazole::XC.P904::::24H::0.12uM::ASG003::I03::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::dabrafenib::XC.P904::::24H::1.11uM::ASG003::H17::BRD-K09951645,dabrafenib,brd-k09951645,dabrafenib
L1000,L1000::RITA::XC.P904::::24H::10uM::ASG003::A22::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::panobinostat::XC.P904::::24H::1.11uM::ASG003::P02::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::dasatinib::XC.P904::::24H::10uM::ASG003::N01::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::imatinib::XC.P904::::24H::10uM::ASG003::K04::BRD-K92723993,imatinib,brd-k92723993,imatinib
L1000,L1000::erlotinib::XC.P904::::24H::10uM::ASG003::B16::BRD-K70401845,erlotinib,brd-k70401845,erlotinib
L1000,L1000::tandutinib::XC.P904::::24H::10uM::ASG003::D13::BRD-K89162000,tandutinib,brd-k89162000,tandutinib
L1000,L1000::lapatinib::XC.P904::::24H::10uM::ASG003::O07::BRD-K19687926,lapatinib,brd-k19687926,lapatinib
