compound_embedding_row_index,compound_name,n_profiles,source_normalized_inverted_score
1117,"1-[2-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]ethyl]-3-ethylurea; Adenosine, 5'-S-[2-[[(ethylamino)carbonyl]amino]ethyl]-5'-thio-",156,0.7506948324265562
786,Vincristine Sulfate; vincristine,197,0.894434605317796
5406,Lopinavir,156,0.7777632755543732
5205,Riluzole hydrochloride,144,0.6966944372632076
5200,Pexidartinib (hydrochloride); Pexidartinib Hydrochloride,136,0.6963506315822158
8551,verteporfin,151,0.9477924397043374
2914,Meloxicam,152,0.7768836790812463
5169,Phenylephrine (hydrochloride); Phenylephrine Hydrochloride,140,0.6930803685712084
5219,"5,5-Diphenyl Hydantoin Sodium; Phenytoin (sodium)",140,0.7337531291696819
1417,Ribociclib,140,0.739993145368812
1774,Encorafenib; methyl N-[(2S)-1-[[4-[3-[5-chloro-2-fluoro-3-(methanesulfonamido)phenyl]-1-propan-2-ylpyrazol-4-yl]pyrimidin-2-yl]amino]propan-2-yl]carbamate,136,0.6825441204884208
5485,Idoxuridine,146,0.6950365571413286
5529,Darinaparsin,145,0.6817480986554485
24143,Olanzapine,147,0.6973687220421717
161,"(8S,11R,13S,14R,17S)-11-[4-(dimethylamino)phenyl]-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one; mifepristone",188,0.8757760384021864
3450,Tucidinostat,159,0.9288760976883396
5211,"5-(4-Chlorophenyl)-[3,3'-bipyridine]-6,6'-diamine; PF-06260933",149,0.7098185679270942
3522,Pemetrexed,155,0.7876497686809392
2733,Sulfatinib; Surufatinib,131,0.6653186126450907
5189,Flumatinib (mesylate); Flumatinib Mesylate,139,0.6589661890464624
4069,Trifluridine,201,0.866279060850349
5218,Sodium Salicylate,145,0.6548504817183609
1597,Entrectinib,138,0.6545364165069413
3057,TAK-733; Tak-733,228,0.8636386599693552
5141,Imiquimod (hydrochloride); Imiquimod hydrochloride,153,0.7396658697613996
