compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,raw_error_inverted_score,mean_source_normalized_error_z,source_normalized_inverted_score,predictability_score,source_normalized_predictability_score
8293,"2-(3-Chlorophenyl)-1,2-benzothiazol-3-one; KU-C103656",1,0.18795653,0.0,0.4536776795452614,1.984600726404095,0.42408290079575417,0.1735049205147615,0.1347464042392127
7125,BRD-K92470030; Org-41841,2,0.18807091,0.0027206999,0.45324999720877246,1.987251998417778,0.4235482812754092,0.1733535200605601,0.1342922028766086
6806,"BRD-A36165599; Methyl 4,5-dimethyl-2-(2-{12-oxo-10,13-diazatricyclo[7.4.1.0^{5,14}]tetradeca-1,3,5(14),6,8-pentaen-11-yl}acetamido)thiophene-3-carboxylate",1,0.18808544,0.0,0.45319566756767116,1.987588796654872,0.42348036711532355,0.1732021196063587,0.1341408024224072
7209,"2-[(2R,3S,6S)-3-[[(1,3-benzodioxol-5-ylamino)-oxomethyl]amino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]-N-[(1R)-1-phenylethyl]acetamide; BRD-K41440211",1,0.18816945,0.0,0.45288154278109627,1.9895361070401625,0.4230876989399067,0.1730507191521574,0.1339894019682058
24202,Chromium(iii) nicotinate,1,0.1881931,0.0,0.4527931122227997,0.0111225885806124,0.8220277099323072,0.172899318697956,0.7344436033308099
6911,"3-(1,3-Benzodioxol-5-yl)-3-(2-hydroxy-4,6-dimethoxyphenyl)-1-(4-methyl-1-piperidinyl)-1-propanone; BRD-A66604020",2,0.18820122,0.0007621379,0.452762750441262,1.9902727517734633,0.42293915716375197,0.1727479182437546,0.1338380015140045
6350,"5-[(2-Bromophenyl)methyl]-1-tert-butyl-4-pyrazolo[3,4-d]pyrimidinone; BRD-K85670329",2,0.18820202,0.00061239843,0.45275975913273603,1.9902909476864787,0.4229354880229629,0.1725965177895533,0.1336866010598032
6827,"3-(2,5-difluorophenyl)-1-[[(2S,3R)-5-[(2R)-1-hydroxypropan-2-yl]-8-(3-methoxyprop-1-ynyl)-3-methyl-6-oxo-3,4-dihydro-2H-pyrido[2,3-b][1,5]oxazocin-2-yl]methyl]-1-methylurea; BRD-K14396276",1,0.18826428,0.0,0.4525269605467088,1.9917342196914796,0.4226444573844397,0.172445117335352,0.1335352006056018
87,BAY-36-7620; Bay 367620,2,0.1882862,0.0005055613,0.4524449986930995,1.992242314485499,0.4225420018862236,0.1722937168811507,0.1333838001514005
8313,"5,7-Dichloro-1,2,3,9-tetrahydropyrrolo[2,1-b]quinazolin-9-ol; BRD-A25829966",1,0.1883697,0.0,0.45213278086570985,1.9941778033222064,0.42215171748380353,0.1721423164269493,0.1332323996971991
7558,"3-[(3,5-Dibromo-6-oxo-1-cyclohexa-2,4-dienylidene)methylamino]-2-methylbenzoic acid; EMF-sumo1-5",5,0.1883932,0.00014000505,0.4520449111777618,1.9947229389684535,0.4220417928301976,0.1719909159727479,0.1330809992429977
6258,"BRD-K40758391; N-[(E)-1-[4-[(2,2,2-Trifluoroacetyl)amino]phenyl]ethylideneamino]cyclopentanecarboxamide",8,0.18840824,0.000952935,0.45198867457747527,1.995071199471772,0.42197156734511776,0.1718395155185466,0.1329295987887964
4355,SC-19220,4,0.1884197,6.832282e-05,0.4519458240828419,2.2494049518847667,0.3706860756940189,0.1716881150643452,0.0993186979560938
5374,ML-133; N-(4-Methoxybenzyl)-1-(naphthalen-1-yl)methanamine,1,0.18843684,0.0,0.45188173529767484,1.9957340754239608,0.4218379007798697,0.1715367146101438,0.1326267978803936
