compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin,raw_error_inverted_score,source_normalized_inverted_score
18703,glycocholic-acid,4,0.10063847,6.2188024e-05,0.007885939,0.10181074,0.04058025,3.8876584e-05,0.006235109,0.04537758,1.237692e-05,0.0008182339,0.029033998,0.1733272125,0.0069619147,0.9791587725,0.9980947,0.2181680545041635,0.7818319454958365,0.0157479292638682,0.040265783872529,0.2006633595665364,0.0455771487169602,1,0.2669190007570022,0.7330809992429977,2-4,0.7801717512227777,0.8210950265242104
7606,"1-(2,3-Dihydroxy-5-methylphenyl)-2-(2,4,6-trihydroxyphenyl)ethane-1,2-dione; BRD-K09977233",2,0.10067797,3.7498799e-06,0.0019364633,0.10067797,0.06076269,1.6889091e-05,0.0041096336,0.028979586,5.43166e-05,0.0009018535,0.021510642,0.2245519,0.01250476,0.96124925,0.9960428,0.2183194549583648,0.7816805450416351,-0.0384732220138522,0.0020147816676239,0.0448863193815661,-0.0384732220138522,1,0.2420893262679788,0.7579106737320211,2-4,0.780024055364312,0.8320285277790931
5107,monobenzone,4,0.1006996,0.00042351746,0.02057954,0.094625294,0.051998075,0.0003899024,0.019745948,0.038353838,2.4379854e-06,0.00054805493,0.02047615,0.160854045,0.0013154974,0.979253875,0.9994137,0.2184708554125662,0.7815291445874337,0.0173033944995572,0.2742211042695667,0.5236612495397828,-0.1372618211258869,1,0.2681302043906132,0.7318697956093868,2-4,0.7799431778600432,0.8207813725219332
8273,"5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide; BRD-K92317137",34,0.100712545,0.00066505244,0.02578861,0.09594974,0.058474433,0.0004963228,0.022278301,0.0330722,2.7164984e-05,0.0004245732,0.018161995,0.1693902824705882,0.029125994,0.9833593855882352,0.9900337,0.2186222558667676,0.7813777441332324,-0.0376719044106977,0.3573257014028283,0.5977672635757401,-0.1480712393419369,1,0.2422407267221801,0.7577592732778198,20-99,0.7798947747489587,0.831866944950009
3743,MST-312; Telomerase Inhibitor IX,48,0.10071891,0.00053142564,0.02305267,0.09628031,0.07047493,0.00042924864,0.020718317,0.022343991,1.2063398e-05,0.0005789572,0.015568401,0.1877361379166666,0.0042699263,0.9804564679166666,0.9985344,0.2187736563209689,0.781226343679031,-0.0375243544065332,0.2855294103669464,0.5343495207885438,-0.1404088592427299,1,0.2425435276305829,0.757456472369417,20-99,0.7798709751504996,0.8318371920193228
1288,"(3R,5R)-7-[(1R,2S,6S,8R,8aR)-6-hydroxy-2-methyl-8-[(2S)-2-methylbutanoyl]oxy-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]-3,5-dihydroxyheptanoic acid; pravastatin",6,0.10072548,0.0011396048,0.033758033,0.09098007,0.07514493,0.0010168606,0.031888254,0.018579828,5.90119e-06,0.00029132343,0.013884907,0.1856714216666667,0.030865591,0.9807987333333332,0.9893009,0.2189250567751703,0.7810749432248296,-0.0373720486265521,0.6122978280955806,0.7824946185729207,-0.2632659718210607,1,0.2426949280847842,0.7573050719152157,5-19,0.7798464090292307,0.8318064801034504
3217,2-[(E)-(2-chlorophenyl)methylideneamino]guanidine; Icerguastat,2,0.100743696,1.43111965e-05,0.0037830116,0.100743696,0.032993842,2.588411e-05,0.005087642,0.065762185,7.922378e-08,0.00011857719,0.0039279046,0.0518033515,0.005075634,1.0,0.9980947,0.2190764572293717,0.7809235427706283,-0.3042159955875168,0.0027480340135501,0.0524216941117905,-0.3042159955875168,1,0.1285389856169568,0.8714610143830431,2-4,0.7797782969340963,0.8856146077474383
7737,4-[(1-methyl-2-oxo-4-quinolinyl)oxy]-N-(4-methyl-2-pyridinyl)butanamide; BRD-K84203638,22,0.10074648,0.00043543638,0.020867111,0.10087056,0.06296119,0.00028897554,0.01699928,0.03330114,3.5565263e-05,0.00079784857,0.00864914,0.149404009590909,0.00937608,0.9888733454545456,0.9975084,0.219227857683573,0.7807721423164269,-0.0368853457078809,0.2339554027201709,0.4836893659366215,-0.0340092430121806,1,0.2429977289931869,0.757002271006813,20-99,0.7797678871804262,0.8317083382003987
672,Fluocinolone Acetonide; fluocinolone,6,0.10079816,0.00040746047,0.020185651,0.10589177,0.068889804,0.0007367551,0.027143233,0.02289998,3.3978165e-06,0.00016362885,0.01795129,0.2397904316666666,0.015280963,0.9621049583333332,0.99618936,0.2193792581377744,0.7806207418622255,0.0698894295486607,0.1042870561542188,0.3229350649189692,0.0823800453615504,2,0.2926570779712339,0.7073429220287661,5-19,0.7795746486496539,0.8101775866072116
1325,"(3R)-3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione; (R)-Aminoglutethimide",4,0.100800894,0.00017709692,0.013307776,0.09725109,0.019587018,0.000116991236,0.010816249,0.07878769,4.3060186e-06,0.00024938714,0.0047526113,0.0924548925,0.015207832,0.988425925,0.99531,0.2195306585919757,0.7804693414080243,-0.3034233639329935,0.0340061970333198,0.1844076924461664,-0.3526135610979569,1,0.1291445874337623,0.8708554125662377,2-4,0.7795644258527666,0.8854547764088339
1490,"(4R,12aR)-4,7-bis(dimethylamino)-10,12a-dihydroxy-1,3,11,12-tetraoxo-4,4a,5,5a,6,11a-hexahydrotetracene-2-carboxamide; minocycline",13,0.100801095,0.0005062066,0.022499032,0.102182835,0.04586684,0.00041439317,0.02035665,0.04696184,4.1506806e-05,0.00062312133,0.015695574,0.2123814138461538,0.059795193,0.9759479123076924,0.97948116,0.2196820590461771,0.7803179409538229,-0.0313032193158379,0.2788996558021669,0.528109511183208,-0.0039637573889549,4,0.245117335352006,0.7548826646479939,5-19,0.7795636742864995,0.8305827223756865
3601,Butein; butein,16,0.100801215,0.00048184965,0.021951074,0.09870157,0.06504733,0.0004004425,0.020011062,0.031046284,3.8200247e-05,0.00056966336,0.009187327,0.19140450225,0.0022789026,0.97737594125,0.99926716,0.2198334595003785,0.7801665404996215,-0.0392918664426103,0.2664074204607414,0.5161467043978305,-0.0842854199062112,2,0.241786525359576,0.7582134746404239,5-19,0.7795632255902206,0.8321936045005977
2579,2-(5-methyl-1H-imidazol-4-yl)ethanamine; 4-Methylhistamine,2,0.10082449,0.00021493116,0.0146605335,0.10082449,0.027353838,0.00016573544,0.0128738275,0.07016606,6.1839173e-06,0.00029786507,0.0064900257,0.471756355,0.011448468,0.839195965,0.9964825,0.2199848599545798,0.7800151400454202,-0.2742296775159294,0.0263507965179835,0.1623292842280269,-0.2742296775159294,2,0.1408024224072672,0.8591975775927327,2-4,0.7794761972077955,0.8795679739423806
7359,"1-[(3S,9R,10R)-9-[(dimethylamino)methyl]-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-[4-(trifluoromethyl)phenyl]urea; BRD-K78778188",1,0.10085836,0.0,0.0,0.10085836,0.07716161,0.0,0.0,0.01435988,0.0,0.000679165,0.018402088,0.21176195,0.0034784225,0.9736842,0.9989741,0.2201362604087812,0.7798637395912188,-0.0342919171003681,0.0,0.0,-0.0342919171003681,1,0.2437547312641937,0.7562452687358062,1,0.7793495526830808,0.8311853825960542
81,Arglabin; arglabin,10,0.10087129,0.00015003979,0.012249073,0.09757726,0.05391557,8.0004036e-05,0.008944497,0.04035732,1.9029485e-05,0.000303157,0.013075533,0.1730175175,0.03912639,0.985445386,0.9863696,0.2202876608629826,0.7797123391370174,-0.0339921249462416,0.0806148239701664,0.2839274977351901,-0.1103463019125793,1,0.2439061317183951,0.7560938682816049,5-19,0.779301205659031,0.8311249305802615
5258,Mericitabine; mericitabine,16,0.10088049,0.0009030668,0.030051067,0.09413625,0.06776411,0.0008323873,0.028851124,0.026325878,2.0106718e-05,0.00060234097,0.013340068,0.1603738725,0.030789642,0.98558585,0.9903268,0.2204390613171839,0.7795609386828161,-0.0337790574689354,0.4852082612828156,0.6965689206983151,-0.1901069392315213,1,0.2440575321725965,0.7559424678274035,5-19,0.7792668056109834,0.8310819662854133
