name,pubchem_cid,smiles,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
xaliproden,128919,FC(F)(F)c1cccc(c1)C1=CCN(CCc2ccc3ccccc3c2)CC1 |t:11|,True,4.0,3.0,1.0,True,4+ rings
hc-067047,2742550,Cc1c(cc(-c2ccccc2)n1CCCN1CCOCC1)C(=O)Nc1cccc(c1)C(F)(F)F,True,4.0,3.0,1.0,True,4+ rings
nps-2407,9948445,CC(C)(Cc1ccccc1)NC(=O)c1cnc2ccccc2n1,True,3.0,3.0,0.0,True,3 rings
epomediol,,"CC1(C)OC2(C)[C@@H](O)C[C@H]1C[C@@H]2O |&1:11,&2:9,&3:6,r,THB:12:11:1.3:8.6,7:6:1.3:11.10|",False,,,,,Invalid/missing SMILES
benzyl-alcohol,244,OCc1ccccc1,True,1.0,1.0,0.0,True,1 ring
methazolamide,4100,CC(=O)N=c1sc(nn1C)S(N)(=O)=O,True,1.0,1.0,0.0,True,1 ring
lobendazole,22752,CCOC(=O)Nc1nc2ccccc2[nH]1,True,2.0,2.0,0.0,True,2 rings
edaglitazone,76961439,"Cc1oc(nc1CCOc1ccc(C[C@@H]2SC(=O)NC2=O)c2sccc12)-c1ccccc1 |&1:14,r|",True,5.0,4.0,1.0,True,4+ rings
clomesone,100651,CS(=O)(=O)CS(=O)(=O)OCCCl,True,0.0,0.0,0.0,False,0 rings
ezutromid,886736,CCN(CC)c1ccc(cc1)-n1nc2cc(C)c(N)cc2n1,True,3.0,3.0,0.0,True,3 rings
impentamine,9793868,NCCCCCc1cnc[nH]1,True,1.0,1.0,0.0,True,1 ring
nifurtimox,6604371,"C[C@H]1CS(=O)(=O)CCN1\N=C\c1ccc(o1)[N+]([O-])=O |&1:1,r|",True,2.0,1.0,1.0,True,2 rings
pd-81723,122028,Cc1sc(N)c(C(=O)c2cccc(c2)C(F)(F)F)c1C,True,2.0,2.0,0.0,True,2 rings
t-0156,5368,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1,True,5.0,5.0,0.0,True,4+ rings
vu152100,864492,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,True,3.0,3.0,0.0,True,3 rings
rapastinel,14539800,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(N)=O,True,2.0,0.0,2.0,True,2 rings
abarelix,16131215,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,True,6.0,5.0,1.0,True,4+ rings
methysergide,9681,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34 |c:24|,True,4.0,2.0,2.0,True,4+ rings
methylatropine-nitrate,,"C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](CO)c1ccccc1 |&1:3,6,8,&2:13|",True,3.0,1.0,2.0,True,3 rings
ne-100,9841596,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1,True,2.0,2.0,0.0,True,2 rings
y-27632,,C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1,True,2.0,1.0,1.0,True,2 rings
bithionol,2406,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,True,2.0,2.0,0.0,True,2 rings
gne-7915,58539171,CCNc1nc(Nc2cc(F)c(cc2OC)C(=O)N2CCOCC2)ncc1C(F)(F)F,True,3.0,2.0,1.0,True,3 rings
cilnidipine,28248392,"COCCOC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1 |&1:14,r,c:7,12|",True,3.0,2.0,1.0,True,3 rings
chlorocresol,1732,Cc1cc(O)ccc1Cl,True,1.0,1.0,0.0,True,1 ring
nemorexant,91801202,COc1ccc(c(c1)C(=O)N1CCC[C@@]1(C)c1nc2ccc(Cl)c(C)c2[nH]1)-n1nccn1,True,5.0,4.0,1.0,True,4+ rings
lubiprostone,9800568,CCCCC(F)(F)C(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,True,1.0,0.0,1.0,True,1 ring
mibefradil,60663,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,True,4.0,3.0,1.0,True,4+ rings
pinitol,,,False,,,,,Invalid/missing SMILES
satraplatin,,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,True,1.0,0.0,1.0,True,1 ring
11/01/2,16401161,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,True,0.0,0.0,0.0,False,0 rings
irbesartan,3749,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1 |t:4|,True,5.0,3.0,2.0,True,4+ rings
