name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
tofacitinib,9926791.0,9.647628,1.924583,9926791,tofacitinib,True,3.0,2.0,1.0,True,3 rings
dicloxacillin,18381.0,13.2634735,1.9030317,18381,dicloxacillin,True,4.0,2.0,2.0,True,4+ rings
etc-206,71766360.0,9.31174,2.4536612,71766360,etc-206,True,5.0,4.0,1.0,True,4+ rings
a-438079,11673921.0,9.344653,3.553541,11673921,a-438079,True,3.0,3.0,0.0,True,3 rings
embelin,,10.692213,1.1749474,,embelin,True,1.0,0.0,1.0,True,1 ring
dopamine,681.0,10.472541,2.3853335,681,dopamine,True,1.0,1.0,0.0,True,1 ring
linoleic-acid,5280450.0,11.159746,1.1548206,5280450,linoleic-acid,True,0.0,0.0,0.0,False,0 rings
furamidine,126437.0,9.54153,2.0821507,126437,furamidine,True,3.0,3.0,0.0,True,3 rings
piboserod,177336.0,9.980633,3.1657114,177336,piboserod,True,4.0,2.0,2.0,True,4+ rings
gr-159897,9953599.0,11.507262,2.845748,9953599,gr-159897,True,4.0,3.0,1.0,True,4+ rings
norethindrone,6230.0,8.445475,-0.14620443,6230,norethindrone,True,4.0,0.0,4.0,True,4+ rings
bilastine,40467029.0,10.149331,3.2153623,40467029,bilastine,True,4.0,3.0,1.0,True,4+ rings
azd2014,25262792.0,9.60953,2.6643627,25262792,azd2014,True,5.0,3.0,2.0,True,4+ rings
