gene,gene_col
SLC19A2,1331
MED24,1332
CHD7,1333
TIAM1,1334
CHIT1,1335
H1F0,1336
B4GALT5,1337
ELP1,1338
SMAGP,1339
AZU1,1340
ACKR1,1341
CHN1,1342
WIF1,1343
GSTP1,1344
SORBS1,1345
SORBS2,1346
AGL,1347
SOX17,1348
ORM1,1349
ACAT1,1350
CLN8,1351
VLDLR,1352
ATP6V1D,1353
TCF7,1354
GRN,1355
GRB7,1356
GRB14,1357
CNPY2,1358
ATF5,1359
GPX3,1360
ACAD8,1361
TARP,1362
TAGLN,1363
SVIL,1364
NME4,1365
ACSL1,1366
UCHL1,1367
TSPAN13,1368
TPD52L1,1369
TOMM34,1370
ANXA3,1371
AREG,1372
TCN1,1373
ASRGL1,1374
SOCS2,1375
SCPEP1,1376
SCGB2A1,1377
S100A10,1378
C7,1379
RIDA,1380
RHOBTB1,1381
CCL2,1382
CEACAM6,1383
CEACAM8,1384
PLA2G4A,1385
PIK3R3,1386
CES1,1387
PHKA1,1388
CPM,1389
MSLN,1390
MS4A3,1391
CTSG,1392
MLLT11,1393
MFSD10,1394
CXCL12,1395
METRN,1396
CYB561,1397
LGALS3,1398
LAMB1,1399
DIXDC1,1400
ITGAM,1401
IGFBP6,1402
GSTM3,1403
GPR183,1404
GPM6B,1405
EPHX1,1406
FMO2,1407
FDX1,1408
PLTP,1409
SLAMF7,1410
DYNC1H1,1411
COL4A3,1412
QARS,1413
CTSW,1414
NPRL2,1415
CD2,1416
ERBB2,1417
SYF2,1418
PRIM1,1419
MACF1,1420
UQCRC2,1421
SNX5,1422
EIF2S3,1423
LTB,1424
PRF1,1425
CIB2,1426
MAP2K5,1427
ZNF430,1428
KAT6B,1429
P2RY14,1430
COBLL1,1431
PCDH9,1432
QPCT,1433
MPHOSPH8,1434
DLG5,1435
PFDN5,1436
OLA1,1437
RAB38,1438
COL21A1,1439
PLP2,1440
ISG20,1441
CXCL5,1442
CDT1,1443
STAM2,1444
FHOD3,1445
MYOF,1446
COPS2,1447
STK39,1448
MPC2,1449
PCSK5,1450
IL2RG,1451
STK38L,1452
ERAP1,1453
MS4A1,1454
HEBP1,1455
NSA2,1456
NSDHL,1457
PSD3,1458
CSNK2A2,1459
CSF2RB,1460
MTMR11,1461
GZMA,1462
IGBP1,1463
CRTAP,1464
CRIP1,1465
MT1F,1466
GANAB,1467
MSMB,1468
ENPP4,1469
MYH10,1470
ECHDC2,1471
FILIP1L,1472
PDGFC,1473
IL18,1474
CARMIL1,1475
ZBTB16,1476
GASK1B,1477
TM7SF2,1478
PLCXD1,1479
CPA3,1480
ADPRM,1481
TRAF5,1482
WDR61,1483
SIK3,1484
IMPDH2,1485
SCGB1D2,1486
PRKCQ,1487
COL6A2,1488
MMP11,1489
ADGRE5,1490
ARL5A,1491
ADD3,1492
FOXG1,1493
RMND1,1494
BIK,1495
NCAM1,1496
VAV3,1497
EIF5A,1498
YBX3,1499
OGFOD3,1500
CCN1,1501
CCN2,1502
CCNB1IP1,1503
HSD17B11,1504
CCND2,1505
NPTX2,1506
PHB2,1507
ITGB4,1508
THG1L,1509
ZNF277,1510
VWA8,1511
RUBCNL,1512
RPL14,1513
CLNS1A,1514
JAG1,1515
SLC7A11,1516
GPC4,1517
CLIC3,1518
PECR,1519
CD200,1520
ORC1,1521
CLC,1522
RELB,1523
C1RL,1524
NPC2,1525
PCBP2,1526
MAP3K4,1527
DDOST,1528
ARAP2,1529
SNRPA,1530
AMIGO2,1531
AMOTL2,1532
SYNE2,1533
HDAC9,1534
NOTCH2,1535
RBM3,1536
GNLY,1537
WDFY3,1538
RPS25,1539
P2RX4,1540
AVPI1,1541
DAAM1,1542
CHL1,1543
CHEK1,1544
DUSP5,1545
CFLAR,1546
FAM129A,1547
TOM1L1,1548
SPOCK1,1549
POLR1D,1550
LIMS1,1551
SRC,1552
LIAS,1553
CD8A,1554
CEACAM5,1555
ABCA8,1556
LAMA2,1557
LETMD1,1558
ST6GALNAC2,1559
ARHGAP32,1560
FAXDC2,1561
HES1,1562
EIF3F,1563
HEPH,1564
TNFSF10,1565
PDGFRA,1566
SERPING1,1567
MYO1C,1568
DHX29,1569
EIF2S2,1570
WASHC4,1571
SLC22A8,1572
GIMAP5,1573
GIMAP4,1574
CKAP2,1575
RARRES1,1576
CORO2A,1577
SLC22A18,1578
UGP2,1579
AFF1,1580
PCSK1,1581
EPHB6,1582
CKAP4,1583
IDH1,1584
SLC2A5,1585
MXRA8,1586
SMIM8,1587
COMMD3,1588
TMEM140,1589
PARM1,1590
ITGA6,1591
RAB29,1592
CDK4,1593
PHACTR4,1594
SERINC5,1595
PYCR1,1596
TXN,1597
XPOT,1598
GLTP,1599
PYCARD,1600
SEMA4D,1601
C1R,1602
GAP43,1603
CD248,1604
TARBP1,1605
NYNRIN,1606
PTX3,1607
YWHAB,1608
P2RX7,1609
NPR2,1610
PIM1,1611
NBL1,1612
DLD,1613
PTPRG,1614
ASXL2,1615
SPTBN1,1616
STEAP1,1617
NUAK1,1618
INAVA,1619
TALDO1,1620
PTPN13,1621
ZC3HAV1,1622
SSR4,1623
BMI1,1624
PTP4A3,1625
LEPROTL1,1626
PLAAT2,1627
TRO,1628
VAMP8,1629
ARPC5,1630
PGD,1631
PIK3IP1,1632
SPINK2,1633
PLIN3,1634
PCK2,1635
SASH1,1636
SC5D,1637
HERPUD1,1638
PMAIP1,1639
TSPAN31,1640
ZMAT3,1641
ALDH3A1,1642
SLC3A2,1643
PLAAT4,1644
NTS,1645
CRK,1646
STT3A,1647
SLC39A6,1648
CEMIP,1649
FOXC1,1650
DUOX2,1651
DNAJC1,1652
ASNS,1653
TFPI,1654
CH25H,1655
LMO3,1656
PIM2,1657
CBR1,1658
ATF4,1659
MTHFD2,1660
CEBPB,1661
ACTC1,1662
C1S,1663
SEPT11,1664
CSTB,1665
ABHD2,1666
GYG2,1667
SERPINB3,1668
SERPINB4,1669
SOWAHC,1670
AKR1B10,1671
SORD,1672
CASP10,1673
FABP7,1674
C3,1675
OLFML3,1676
ATP10B,1677
IKBKE,1678
IGLL1,1679
BCAT1,1680
IRS2,1681
RAMP1,1682
ASCL1,1683
ATP6V1B2,1684
MAP4K4,1685
TBC1D9B,1686
ANXA6,1687
NELL2,1688
SSX1,1689
PALLD,1690
EIF4EBP1,1691
PLSCR3,1692
SS18,1693
PDZK1IP1,1694
CD99,1695
DDR2,1696
ELOVL2,1697
GTPBP2,1698
GNA11,1699
CLDN16,1700
SSX2IP,1701
HSD17B6,1702
SAT1,1703
ZFPM2,1704
TCP1,1705
CD7,1706
LRP12,1707
TRAF4,1708
APLP2,1709
