feature_set,minimum_profiles,n_compounds,fold,r2,mae,spearman
128D_embedding_only,25,700,9,0.12259384516403993,0.05929694340589145,0.3706938400647264
128D_embedding_only,25,700,10,0.03682046378254411,0.05726318543838959,0.3417288054055237
128D_embedding_only,25,700,11,0.1852317496445527,0.055531195884189054,0.4143491285998558
128D_embedding_only,25,700,12,0.08221484552466063,0.05907888619410139,0.3365900592595833
128D_embedding_only,25,700,13,0.0332092390242692,0.06499874846325032,0.2940980953838753
128D_embedding_only,25,700,14,0.0922442986887071,0.06109449368818173,0.32225842426362866
128D_embedding_only,25,700,15,0.12423911118884301,0.05594326451934342,0.3508302364155914
130D_embedding_plus_step1_QC,25,700,1,0.10530034862815218,0.055869828738147984,0.3943189521331264
130D_embedding_plus_step1_QC,25,700,2,0.11898502377573683,0.06484283310308872,0.34128271850604625
130D_embedding_plus_step1_QC,25,700,3,0.0946028803301896,0.06390507842430933,0.3059237716210011
130D_embedding_plus_step1_QC,25,700,4,0.2093074762226187,0.05782862592089392,0.4032669305285256
130D_embedding_plus_step1_QC,25,700,5,0.11543889375754968,0.05401110065822443,0.3852791323172466
130D_embedding_plus_step1_QC,25,700,6,0.10740797786811684,0.063111555127365,0.24658984058953448
130D_embedding_plus_step1_QC,25,700,7,0.1923887461798689,0.05819357737654021,0.5037851785440949
130D_embedding_plus_step1_QC,25,700,8,0.16912710605094283,0.055848606247765296,0.4016841985572349
130D_embedding_plus_step1_QC,25,700,9,0.11166061687948026,0.05949784022552804,0.3533707988016882
130D_embedding_plus_step1_QC,25,700,10,0.06608120775299842,0.056117708205387286,0.3930331722463975
130D_embedding_plus_step1_QC,25,700,11,0.19885743681165347,0.05532412000457271,0.4365747523561698
130D_embedding_plus_step1_QC,25,700,12,0.07950134430769462,0.05949523372686514,0.3486475257483983
130D_embedding_plus_step1_QC,25,700,13,0.017138783509444422,0.06498983041418804,0.274019811506418
130D_embedding_plus_step1_QC,25,700,14,0.08164567390298438,0.061401028529519126,0.3211738208217621
130D_embedding_plus_step1_QC,25,700,15,0.11046056827337258,0.056220014197867194,0.3257531278053245
128D_embedding_only,50,478,1,0.23161715650782722,0.05273119418193694,0.47817417254476396
128D_embedding_only,50,478,2,0.11671934226363523,0.05186649367557322,0.3411964188822572
128D_embedding_only,50,478,3,0.19491003239549454,0.053247154406944476,0.42753662506782425
128D_embedding_only,50,478,4,0.24053866482703623,0.05351947132450966,0.4715565509518477
