name,pubchem_cid,smiles,valid_smiles,has_metal,metal_count,metal_symbols,metal_category
olopatadine,5281071,CN(C)CC\C=C1\c2ccccc2COc2ccc(CC(O)=O)cc12,True,False,0,,No metal
khellin,3828,COc1c2ccoc2c(OC)c2oc(C)cc(=O)c12,True,False,0,,No metal
osi-930,9868037,FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc2ccnc3ccccc23)cc1,True,False,0,,No metal
ammonium-lactate,10313098,"N.C[C@@H](O)C(O)=O |&1:2,r|",True,False,0,,No metal
azd4573,124155204,CC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)Nc1cc(-c2cnn3CC(C)(C)Cc23)c(Cl)cn1,True,False,0,,No metal
elactocin,,,False,False,0,,Invalid/missing SMILES
cefoselis,9830520,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(Cn3ccc(=N)n3CCO)=C(N2C1=O)C(O)=O)c1csc(N)n1 |c:22|,True,False,0,,No metal
isoflurane,4369440,"FC(F)O[C@@H](Cl)C(F)(F)F |&1:4,r|",True,False,0,,No metal
cp-775146,10410059,CC(C)c1ccc(CC(=O)N2CCC[C@H](C2)c2cccc(OC(C)(C)C(O)=O)c2)cc1,True,False,0,,No metal
n-methylpyrrolidone,13387,CN1CCCC1=O,True,False,0,,No metal
clomifene,1548955,CCN(CC)CCOc1ccc(cc1)C(=C(/Cl)c1ccccc1)\c1ccccc1,True,False,0,,No metal
minerval,11066464,"CCCCCCCC\C=C/CCCCCC[C@@H](O)C(O)=O |&1:16,r|",True,False,0,,No metal
pifithrin-alpha,4817,Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N,True,False,0,,No metal
way-161503,6604916,Clc1cc2NC(=O)[C@H]3CNCCN3c2cc1Cl |&1:7|,True,False,0,,No metal
palonosetron,6337614,O=C1N(C[C@H]2CCCc3cccc1c23)[C@@H]1CN2CCC1CC2,True,False,0,,No metal
quinethazone,6604207,"CC[C@H]1NC(=O)c2cc(c(Cl)cc2N1)S(N)(=O)=O |&1:2,r|",True,False,0,,No metal
xe-991,656732,O=C1c2ccccc2C(Cc2ccncc2)(Cc2ccncc2)c2ccccc12,True,False,0,,No metal
megestrol,19090,"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C |t:9,12|",True,False,0,,No metal
ac-7954-(+/-),10937426,CN(C)CC[C@]1(Cc2ccccc2C(=O)O1)c1ccc(Cl)cc1 |&1:5|,True,False,0,,No metal
edonerpic-maleate,9901946,OC1CN(CCCOCCc2ccc3sccc3c2)C1,True,False,0,,No metal
norcyclobenzaprine,9918,CNCCC=C1c2ccccc2C=Cc2ccccc12 |c:13|,True,False,0,,No metal
tucatinib,51039094,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1 |t:14|,True,False,0,,No metal
ldn-209929,46871867,COc1ccc2nc3ccc(Cl)cc3c(SCCCN)c2c1,True,False,0,,No metal
fosfructose,84951,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O,True,False,0,,No metal
liothyronine,7048703,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O,True,False,0,,No metal
deoxycorticosterone-acetate,5952,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C |t:14|,True,False,0,,No metal
ganetespib,135564985,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3n(C)ccc3c2)c(O)cc1O,True,False,0,,No metal
epirizole,3242,COc1cc(C)nn1-c1nc(C)cc(OC)n1,True,False,0,,No metal
opc-21268,114904,CC(=O)NCCCOc1ccc(cc1)C(=O)N1CCC(CC1)N1C(=O)CCc2ccccc12,True,False,0,,No metal
